Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Investment Consultant,Acunor Infotech,Acunor is seeking a Finance Investment Consultant for one of its premier clients to work in a hybrid capacity in New Jersey. This is a full-time opportunity. Interested candidates are encouraged to apply with their most recent resume to Position: Finance Investment Consultant Location: Jersey City (Hybrid) Full Time position Role Overview: The person would be working with Investment team for a major Insurance client. The candidate should have hands-on experience in Actuarial /Financial modeling,"New Jersey, USA",Full-time,Data Analytics Internship,17 days ,2024-04-17 03:18:57.987101,1 day ago ,,https://www.dice.com/company/91026517?companyname=Acunor%20Infotech,8
Data Scientist,Procal Technologies,"Job Title: Data Scientist No. of Positions: 2 Location: Bedminster NJ Experience: 7 to 10 years Working Model: Hybrid Job Overview As a Data Scientist at Procal, you will be responsible for analyzing large, complex datasets and identifying meaningful patterns that lead to actionable recommendations. You will be performing thorough testing and validation of models and support various aspects of the business with data analytics. Also, you will be involved in the latest AI & Data driven research in","New Jersey, USA",Full-time,Data Analytics Internship,3 days ,2024-05-01 03:18:57.987101,,,https://www.dice.com/company/90773816?companyname=Procal%20Technologies,8
Azure Data Solutions Architect,SANS,"Job Title - Azure Data Solutions Architect Location - Edison, NJ Position: Fulltime (W2); Single Person C2C may be considered  Job Summary: We are seeking an experienced Azure Data Solutions Architect with P&C Industry experience. If you are  data freak  and looking for a professionally challenging and financially rewarding career this position might be of interest to you. This position will play a pivotal role in the growth dynamics of XDuce. Azure Data Solutions Architect will spearhead new Da","New Jersey, USA",Full-time,Data Analytics Internship,17 days ,2024-04-17 03:18:57.988101,1 day ago ,,https://www.dice.com/company/10102433?companyname=SANS,8
Data Engineer,Applet Systems,"Data EngineerNew Jersey (Hybrid)Long termW2 ONLY  Databricks,Pyspark, Python, SQL, AWS Objective : Deliver Feature store tables by combining Multiple source systems into one table design for Advance analytics queries and ML use cases. Requirement AnalysisTranslating into SQLDesign of ETL PipelineBuildDeployment, runbooks and support","New Jersey, USA",Contract,Data Analytics Internship,2 days ,2024-05-02 03:18:57.988101,,,https://www.dice.com/company/10457851?companyname=Applet%20Systems,8
"C,C++ Developer",ProCorp Systems Inc.,"Job Title: C/C++ Developer Location : Jersey City ( Within 45 miles) Rate: $60/hr. JD In this role you can expect to have the responsibilities: Design and develop high-performance software solutions using C++ for market data systems.Collaborate with cross-functional teams to gather requirements and implement solutions.Perform code reviews, debugging, and troubleshooting to ensure software quality and stability.Optimize software performance and efficiency through continuous improvement initiative","New Jersey, USA","Contract, Third Party",Data Analytics Internship,3 days ,2024-05-01 03:18:57.989123,5 hours ago ,,https://www.dice.com/company/90941033?companyname=ProCorp%20Systems%20Inc.,8
Client Partner - Life Science clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New Jersey, USA","Full-time, Third Party",Data Analytics Internship,8 days ,2024-04-26 03:18:57.990101,,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,8
Client Manager - Insurance clients,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","New Jersey, USA","Full-time, Third Party",Data Analytics Internship,44 days ,2024-03-21 03:18:57.990101,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,8
Hiring Java Integration Engineer,Infinite Computer Solutions (ICS),"Hiring Java Integration engineer for Onsite work. Interested candidates apply with your updated resume. Skill: Java Integration Engineer  Location: Berkeley Heights, NJ/Alpharetta, GA Job description: Senior Integration Engineer (REST, Java, AWS) 10+ years experience We are seeking a talented Senior Integration Engineer with expertise in REST, Java, and AWS to join our dynamic team. This role offers an exciting opportunity to work on complex integration projects, leveraging cutting-edge technolo","New Jersey, USA",Full-time,Data Analytics Internship,14 days ,2024-04-20 03:18:57.991123,,,https://www.dice.com/company/10199915?companyname=Infinite%20Computer%20Solutions%20(ICS),8
