Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
BI Engineer :: Remote :: W2 Profiles Only,Aorton Inc,"Role : BI Analytics Engineer  Location: Remote Job Description: Six Month Expectations Contribute to the data pipeline process, creating new pipelines that further data availability on our BI platform Take ownership of portions of our data stack Proactively solve issues or errors within the data pipeline Take an active role in designing the future of our data pipeline or BI platforms Collaborate with the team on best practices and overall business strategy Take ownership of data office hours and","San Jose, CA, USA",Contract,Business Analytics Internship,1 day ,2024-05-03 03:21:06.303801,,,https://www.dice.com/company/91140841?companyname=Aorton%20Inc,23
"ServiceNow Architect field service module mandatory , Remote",Spiceorb,"Hi, This is Upasna from Spiceorb.we have opening for Servicenow Architect role.If you are available and interested send your updated resume to  ServiceNow Architect, remote role The ServiceNow Architect plays a critical role in the design, implementation, and optimization of ServiceNow solutions within the organization.This position requires a deep understanding of the ServiceNow platform, IT service management processes, and business requirements to architect solutions that drive efficiency, au","San Jose, CA, USA","Contract, Third Party",Business Analytics Internship,9 days ,2024-04-25 03:21:06.303801,7 days ago ,,https://www.dice.com/company/91109480?companyname=Spiceorb,23
Sales Leader - Insurance,"IRIS Software, Inc.","About IRIS Software Inc. IRIS Software Inc. ( has a proven legacy of over 3 decades in helping our enterprise clients thrive with technology-enabled transformation across Banking, Financial Services, Insurance, Life Sciences, Healthcare, Professional Services, Manufacturing, Transportation, and Logistics sectors. Our services cover core, complex, mission-critical Application and Product Engineering, Data and Analytics, Cloud Engineering, DevSecOps, Quality Engineering, UX transformation, and Bus","San Jose, CA, USA","Full-time, Third Party",Business Analytics Internship,60+ days ,2024-03-05 03:21:06.304814,8 days ago ,,https://www.dice.com/company/irissoft?companyname=IRIS%20Software%2C%20Inc.,23
SAP MM Functional consultant,Vrddhi Solutions LLC,"Position-SAP MM Functional consultant Location-onsite 2-3 days a week (Northfield) Visa: No OPT CPT Experience: 8+Years Duration-18m-2 years Job Description:  AP MM Functional Consultant Roles & ResponsibilitiesFacilitate the implementation and support of SAP MMPerform detailed analysis of complex business process requirements and provide appropriate system solutions; identify, interpret, validate and document customer requirementsFacilitate workshops to collect business requirementsMap client b","San Jose, CA, USA","Contract, Third Party",Business Analytics Internship,60+ days ,2024-03-05 03:21:06.305801,4 days ago ,,https://www.dice.com/company/91138338?companyname=Vrddhi%20Solutions%20LLC,23
Data Analyst Internship,Job Wize,"Trainee Data Analyst<>REMOTEJob Description:We are seeking an enthusiastic and detail-oriented Trainee Data Analyst to join our growing team. In this entry-level position, you will be introduced to the dynamic world of data analysis, where you will develop essential skills and gain hands-on experience needed to analyze and interpret data across various business functions. Responsibilities:Assist in collecting, tracking, and analyzing data from multiple sources.Support the data analysis team in m","San Jose, CA, USA",Full-time,Business Analytics Internship,15 days ,2024-04-19 03:21:06.305801,15 days ago ,,https://www.dice.com/company/91159959?companyname=Job%20Wize,23
Frontend Tech Lead/ Tech Lead Manager / Frontend Sr Software Engineer,Myriad Consulting Inc,"Frontend - Tech Lead  Responsibilities:  - Set up a new engineering team from scratch and support it on career development. - Build and manage a team of frontend or full stack engineers, including mentoring junior team members and providing technical support for engineers in the team. - Provide technical leadership and build high performing teams within your organization. - Regularly communicate with business teams and contribute to technical decisions on projects among the product. - In-depth u","San Jose, CA, USA",Full-time,Business Analytics Internship,19 days ,2024-04-15 03:21:06.306871,5 days ago ,,https://www.dice.com/company/90940280?companyname=Myriad%20Consulting%20Inc,23
ETL ODI Developer,P2PSoftTek Inc,"ETL ODI Developer Remote Role  Description  ODI Experience Proficient in PL SQL, Oracle SQL Plusses SSIS experience - OBI: Operations business intelligence - Data analytics/data science - Business IT unit - Why? We sit in business and provide analytics solution to the business - Most of work supports electric ops and working with field crews, office, working with EMS data, ATMS, GIS, SAP, all sorts of data sets 70 different data sets analytics on data - Oracle based technology stack - Solutions","San Jose, CA, USA","Contract, Third Party",Business Analytics Internship,60+ days ,2024-03-05 03:21:06.306871,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,23
Sr Power BI developer with very strong SQL and Data Operations skills || W2 || Any Visa,Shiro Technologies,"Key Skills : Power BI, SQL, Retail Domain Job Summary : The ideal candidate will be part of an organization that is revolutionizing technology platforms and architecting a data and analytics landscape that is simplified, modern, flexible and will ultimately provide a foundation for all future analysis. This role will work closely with the business and technical Key Qualifications : Deep experience, 10 + years of experience in Power BI with very strong SQL. 5+ years visualization in a retail envi","San Jose, CA, USA",Contract,Business Analytics Internship,17 hours ,2024-05-03 10:21:06.307815,,,https://www.dice.com/company/10481525?companyname=Shiro%20Technologies,23
Adobe AEP/ CJA/ AJO/ Personalization engineer,Central Business Solutions,"Title: Adobe AEP/ CJA/ AJO/ Personalization engineer Location: 100% Remote Job Description: Lead execution of the Adobe marketing capabilities and leveraging Adobe suites such as Adobe Analytics, Audience Manager, AEM, Target, and Adobe Journey Optimizer.Utilize a range of Adobe tools including Web SDK, XDM schemas, and Adobe Experience Platform tools for seamless data integration, analysis, and optimization.Collaborate across teams to integrate and optimize the usage of Adobe Experience Platfor","San Jose, CA, USA","Contract, Third Party",Business Analytics Internship,60+ days ,2024-03-05 03:21:06.308815,13 hours ago ,,https://www.dice.com/company/10121769?companyname=Central%20Business%20Solutions,23
Consulting Director - Digital Transformation (remote),RedRiver Systems L.L.C.,"Great opportunity within growing international company developing state-of-the-art products supporting IoT and communication systems worldwide. This is a hands-on opportunity working with customers creating Digital Transformation solutions to drive their Overall Equipment Effectiveness. RESPONSIBILITIES Identify, prioritize, frame and structure complex and ambiguous challenges to help clients build realistic and scalable digital strategies that meet their company specific needs.Lead Digital Tran","San Jose, CA, USA",Full-time,Business Analytics Internship,9 days ,2024-04-25 03:21:06.308815,20 hours ago ,,https://www.dice.com/company/10122941?companyname=RedRiver%20Systems%20L.L.C.,23
