Job Title,Company Name,Job Description,Location,Employment Type,Query_Value,Posted Scraped,Posted On,Updated Scraped,Updated On,Company Link,From Total Job Count
Enterprise Data Speclialist,Genome International Corp,"looking for a contractor to provide Data Governance services in support of the Statewide Longitudinal Data Systems (SLDS) federal grant efforts. CDE received the grant award in 2020, and it will continue through February 2025. The early years of the grant focused on two use case areas, Adult Education (AE) and Concurrent Enrollment (CE). There is a significant technology component to this grant effort, CDE already has data-linking technology in place and part of the grant commitment is to modern","Dallas, TX, USA",Contract,Data Engineer Internship,44 days ,2024-03-21 03:15:44.042647,1 day ago ,,https://www.dice.com/company/genwi001?companyname=Genome%20International%20Corp,49
Remote Alteryx ETL developer Full time or Part time,CapB InfoteK LLC,"We have an immediate need for a strong Alteryx ETL Developer /Data Engineer to participate in  one of our Data Management Project . This is a 100% remote opportunity, but consultants need to have a place of residence anywhere in Wisconsin. Desired Experience:Using ETL tools to design ETL jobs (ETL 6 years, preferably 2 years of with Alteryx)Developing various types of data loads and Implementing change data capture (CDC)Testing and debugging ETL. Developing complex SQL. ETL job scheduling Loadin","Dallas, TX, USA",Contract,Data Engineer Internship,53 days ,2024-03-12 03:15:44.043647,23 days ago ,,https://www.dice.com/company/10343479?companyname=CapB%20InfoteK%20LLC,49
Test Do Not Apply - Senior Full Stack Developer,Dice US Sales Demo Account,"Job Type: Full-time Location: Greenwood Village, Colorado We are seeking an experienced Senior Full Stack Developer to join our dynamic team. The successful candidate will be responsible for developing, maintaining, and enhancing web applications that meet the needs of our clients. As a Senior Full Stack Developer, you will work closely with our cross-functional teams to ensure that our products are delivered on time, within budget, and to the highest quality standards. Responsibilities: Develop","Dallas, TX, USA",Full-time,Data Engineer Internship,18 days ,2024-04-16 03:15:44.044194,4 days ago ,,https://www.dice.com/company/dicedemo?companyname=Dice%20US%20Sales%20Demo%20Account,49
Senior Data Analyst,Vy Systems,"Year of experience 10+Expert in SQLData warehousing conceptsData prep, ability to connect data across different sources to solve a problem.Critical thinking & Problem-solvingAttention to detail.Domain knowledge automotive finance or loan processingAbility to reverse engineer from Qlik sense, Alteryx, JCL s, Cobol code etc. to move on perm warehouse to Google Cloud Platform.Knowledge of Google Cloud Platform BigqueryTesting to catch issues before going to UAT.","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,24 days ,2024-04-10 03:15:44.044194,24 days ago ,,https://www.dice.com/company/10114746?companyname=Vy%20Systems,49
AI Engineer - Open Source Models Specialist,P2PSoftTek Inc,"AI Engineer - Open Source Models Specialist Remote Description :  1. Research, develop, and implement state-of-the-art AI models using open source frameworks and tools, with a focus on Hugging Face Datasets. 2. Fine-tune pre-trained models to specific tasks and domains, ensuring optimal performance and accuracy. 3. Build and optimize NLP encoders and transformers to support various natural language processing tasks and applications. 4. Design and maintain a scalable vector database for efficient","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,7 days ,2024-04-27 03:15:44.045238,19 hours ago ,,https://www.dice.com/company/90868495?companyname=P2PSoftTek%20Inc,49
ServiceNow Developer,CrackaJack Digital Solutions,"Plano, TX, Columbus, OH & Wilmington, DE Job responsibilities: Executes software solutions, design, development, and technical troubleshooting with ability to think beyond routine or conventional approaches to build solutions or break down technical problems Creates secure and high-quality production code and maintains algorithms that run synchronously with appropriate systems Produces architecture and design artifacts for complex applications while being accountable for ensuring design constrai","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,1 day ,2024-05-03 03:15:44.046238,,,https://www.dice.com/company/91021502?companyname=CrackaJack%20Digital%20Solutions,49
ServiceNow Developer,Info Dinamica Inc,"Must Have:  Certifications verified Minimum two (Certification Verification email require from suppliers)Role verified Should be part of core development and Implementation team. Done scripting and Rest API based integrations.Understand converting a Business Requirements to a workflow and implement the same.HR Service Delivery module experienceService portal experience.Job responsibilities Executes software solutions, design, development, and technical troubleshooting with ability to think beyon","Dallas, TX, USA",Contract,Data Engineer Internship,3 days ,2024-05-01 03:15:44.047230,,,https://www.dice.com/company/91091604?companyname=Info%20Dinamica%20Inc,49
Sr Java Developer,Caprus IT Inc.,"Job Title: Sr. Java Developer or Full Stack Java/React developer. Location: Frisco, TX (Onsite) Duration: Contract (W2) / Fulltime 10+ Years of IT Experience is must  Roles and Responsibilities Writing well-designed, testable, and efficient code.Providing code documentation and other inputs to technical documents.Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.Troubleshooting and debugging to optimize performance.","Dallas, TX, USA",Full-time,Data Engineer Internship,16 days ,2024-04-18 03:15:44.047230,14 hours ago ,,https://www.dice.com/company/10297302?companyname=Caprus%20IT%20Inc.,49
big data engineer,Lincoln Softtech LLC,"ob Title:Azure Data Engineer Onsite - Dallas,TX and Chicago,IL Need Only Locals  Send 12+ Profiles only  Experience working with and extracting value from large, disconnected and/or unstructured datasets Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management Strong interpersonal skills and ability to project manage and work with cross-functional teams Advanced working SQL knowledge and experience working with relati","Dallas, TX, USA","Third Party, Contract",Data Engineer Internship,15 days ,2024-04-19 03:15:44.048238,4 days ago ,,https://www.dice.com/company/91138517?companyname=Lincoln%20Softtech%20LLC,49
Lead Fullstack Developer,Fusion Global Solutions,"Lead FullStack Engineer Irving, TX 12+ Months Required Qualifications: Bachelor s degree or foreign equivalent required from reputed institutions. At least 15 years of experience in Information Technology. At least 5 years of experience leading application development team (minimum 6 - 8 members) for AWS target environment (Web/Mobile/ Desktop applications) At least 5 years in JavaScript, Typescript At least 5 years in PHP, Python, VueJs or React At least 5 years in Microservice architecture Exc","Dallas, TX, USA","Contract, Third Party",Data Engineer Internship,14 days ,2024-04-20 03:15:44.048238,,,https://www.dice.com/company/91122985?companyname=Fusion%20Global%20Solutions,49
